enrollee_id,target,mobility_persona,last_job_change_bin_norm,training_hours_bin,education_level,experience_clean,company_size_bin
1907,0.0,Early-Career Explorer,<=1 year,Very High (101+),High School,2.0,Very Small
23947,0.0,Early-Career Explorer,<=1 year,High (51-100),Phd,9.0,Mid
3116,0.0,Early-Career Explorer,<=1 year,Low (0-25),Unknown,3.0,Mid
24829,1.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,3.0,Enterprise
30488,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,2.0,Mid
1265,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,10.0,Very Small
22098,1.0,Anchored Contributor,4-5 years,Low (0-25),Masters,5.0,Mid
13342,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,8.0,Enterprise
24608,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,9.0,Very Small
20081,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,21.0,Mid
24796,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Enterprise
7777,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,21.0,Mid
22718,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,14.0,Enterprise
1261,1.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,12.0,Mid
3396,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,6.0,Large
4283,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,4.0,Mid
18998,0.0,Anchored Contributor,4-5 years,Moderate (26-50),High School,9.0,Very Small
2003,1.0,Early-Career Explorer,<=1 year,Very High (101+),High School,4.0,Mid
31786,0.0,Anchored Contributor,4-5 years,Low (0-25),Phd,21.0,Small
8241,0.0,Early-Career Explorer,<=1 year,Low (0-25),Unknown,11.0,Mid
12154,0.0,Anchored Contributor,4-5 years,High (51-100),Masters,21.0,Enterprise
23455,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,6.0,Enterprise
19882,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,15.0,Mid
28817,1.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,14.0,Enterprise
4656,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,6.0,Mid
7280,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,13.0,Enterprise
16903,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,17.0,Enterprise
13333,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,21.0,Mid
26241,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,21.0,Mid
12381,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,6.0,Enterprise
4064,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,18.0,Mid
32092,0.0,Anchored Contributor,4-5 years,High (51-100),Masters,15.0,Enterprise
3766,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,21.0,Large
30496,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Mid
7189,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Very Small
29497,1.0,Anchored Contributor,4-5 years,High (51-100),Masters,21.0,Enterprise
31593,0.0,Anchored Contributor,4-5 years,Very High (101+),Masters,10.0,Mid
12384,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Unknown,21.0,Mid
11986,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,5.0,Very Small
31033,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,3.0,Mid
14835,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,2.0,Mid
3728,0.0,Anchored Contributor,4-5 years,Low (0-25),Masters,21.0,Enterprise
3024,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,21.0,Very Small
23508,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,9.0,Very Small
29457,0.0,Early-Career Explorer,<=1 year,High (51-100),Masters,21.0,Very Small
12297,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,4.0,Very Small
27708,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,5.0,Enterprise
3065,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Mid
29226,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,6.0,Mid
5493,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,21.0,Very Small
2891,0.0,Early-Career Explorer,<=1 year,High (51-100),Masters,21.0,Small
32509,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,4.0,Enterprise
31841,1.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,10.0,Very Small
907,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Small
29526,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,14.0,Very Small
10956,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,15.0,Small
26099,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,12.0,Enterprise
26163,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,2.0,Mid
4120,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,13.0,Mid
7335,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,1.0,Mid
706,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,4.0,Mid
9890,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,14.0,Very Small
32683,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,15.0,Small
27104,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,21.0,Mid
7731,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,13.0,Mid
31943,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,21.0,Mid
22899,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,9.0,Mid
33339,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,2.0,Large
20866,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,7.0,Very Small
21634,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,5.0,Enterprise
29529,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,3.0,Mid
4478,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,5.0,Small
32095,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,2.0,Small
18272,1.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Mid
30098,0.0,Anchored Contributor,4-5 years,Low (0-25),Masters,21.0,Mid
23825,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,2.0,Mid
7672,1.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,0.0,Very Small
5633,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,4.0,Mid
30695,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,3.0,Mid
5573,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Primary School,4.0,Mid
24936,0.0,Early-Career Explorer,<=1 year,High (51-100),Masters,3.0,Small
397,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,5.0,Enterprise
31602,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,21.0,Enterprise
5278,0.0,Early-Career Explorer,<=1 year,Very High (101+),Unknown,3.0,Mid
16814,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Enterprise
19249,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,6.0,Small
9475,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,9.0,Enterprise
4865,0.0,Anchored Contributor,4-5 years,Low (0-25),Phd,21.0,Small
20881,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,10.0,Enterprise
21563,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,3.0,Small
25114,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,6.0,Very Small
26002,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,2.0,Mid
8528,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,21.0,Small
6141,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,2.0,Mid
27667,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,5.0,Mid
2821,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,15.0,Mid
21216,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,5.0,Mid
25495,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,9.0,Mid
20791,1.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,2.0,Mid
28015,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,13.0,Large
10685,0.0,Anchored Contributor,4-5 years,Moderate (26-50),High School,9.0,Mid
405,0.0,Anchored Contributor,4-5 years,Low (0-25),Masters,19.0,Mid
13891,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Phd,3.0,Enterprise
33050,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,17.0,Enterprise
399,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,21.0,Small
8202,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,7.0,Small
8751,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,6.0,Mid
20744,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,3.0,Enterprise
25380,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,13.0,Mid
24617,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,9.0,Mid
12509,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Small
25473,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,8.0,Mid
13083,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,10.0,Small
12454,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Masters,4.0,Small
3500,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,6.0,Small
15922,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,9.0,Small
6685,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,15.0,Mid
28838,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Enterprise
24082,1.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,6.0,Very Small
24846,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,7.0,Mid
1020,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,3.0,Large
6189,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,2.0,Small
16994,0.0,Early-Career Explorer,<=1 year,Very High (101+),High School,3.0,Very Small
13135,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,14.0,Mid
14578,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,9.0,Very Small
20732,1.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Small
16496,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,0.0,Mid
16537,0.0,Anchored Contributor,4-5 years,Very High (101+),Masters,15.0,Enterprise
17358,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,11.0,Very Small
21933,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,12.0,Small
7342,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,11.0,Mid
5630,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,2.0,Mid
24152,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,3.0,Enterprise
17762,1.0,Early-Career Explorer,<=1 year,Low (0-25),High School,5.0,Mid
4310,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,14.0,Enterprise
5142,0.0,Early-Career Explorer,<=1 year,Low (0-25),Primary School,5.0,Mid
22319,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,0.0,Mid
30912,0.0,Early-Career Explorer,<=1 year,Very High (101+),Primary School,1.0,Mid
20976,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,5.0,Enterprise
13150,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Phd,21.0,Mid
12206,0.0,Anchored Contributor,4-5 years,Moderate (26-50),High School,10.0,Mid
9407,0.0,Anchored Contributor,4-5 years,Very High (101+),High School,7.0,Small
13152,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,13.0,Small
1069,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,5.0,Enterprise
25418,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,6.0,Mid
22689,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,4.0,Small
5104,1.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,7.0,Mid
13994,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Small
27064,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,5.0,Mid
14598,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,9.0,Enterprise
9571,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,10.0,Very Small
30854,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,9.0,Very Small
25290,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,0.0,Mid
29640,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,8.0,Mid
17519,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,10.0,Very Small
12111,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,15.0,Mid
6085,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,2.0,Mid
27277,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,2.0,Enterprise
31692,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Enterprise
6052,0.0,Anchored Contributor,4-5 years,High (51-100),Masters,21.0,Very Small
18161,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,4.0,Mid
12934,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,19.0,Large
30400,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,5.0,Enterprise
26419,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,6.0,Enterprise
4188,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,20.0,Mid
12117,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,4.0,Very Small
28847,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,7.0,Mid
30472,1.0,Early-Career Explorer,<=1 year,Low (0-25),Unknown,4.0,Enterprise
32534,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,9.0,Enterprise
22395,1.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,3.0,Mid
4876,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,10.0,Mid
25182,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,2.0,Mid
26135,1.0,Early-Career Explorer,<=1 year,Very High (101+),High School,3.0,Mid
7517,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,4.0,Mid
2793,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,21.0,Very Small
25174,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,2.0,Small
5593,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Mid
14003,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,2.0,Mid
33057,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,21.0,Mid
30484,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,21.0,Small
14688,0.0,Anchored Contributor,4-5 years,High (51-100),Masters,11.0,Small
25459,0.0,Early-Career Explorer,<=1 year,Low (0-25),Primary School,3.0,Mid
23657,0.0,Early-Career Explorer,<=1 year,Low (0-25),Primary School,4.0,Mid
